Date : 2023-11-23 16:35:13
Directory : /Users/onozeki/Documents/GitHub/Project_Sota
Total : 85 files,  3867 codes, 456 comments, 495 blanks, all 4818 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| SotaSample-master/bin/jp/vstone/sotatest                                                                                            |          6 |        198 |          0 |          0 |        198 |
| SotaSample-master/src                                                                                                               |         38 |      2,253 |        452 |        456 |      3,161 |
| SotaSample-master/src (Files)                                                                                                       |          3 |         21 |          0 |          7 |         28 |
| SotaSample-master/src/Self_code                                                                                                     |         16 |      1,047 |        175 |        168 |      1,390 |
| SotaSample-master/src/jp                                                                                                            |         19 |      1,185 |        277 |        281 |      1,743 |
| SotaSample-master/src/jp/vstone                                                                                                     |         19 |      1,185 |        277 |        281 |      1,743 |
| SotaSample-master/src/jp/vstone/commusample                                                                                         |          1 |         84 |         23 |         22 |        129 |
| SotaSample-master/src/jp/vstone/commutest                                                                                           |          3 |        245 |         52 |         59 |        356 |
| SotaSample-master/src/jp/vstone/sotasample                                                                                          |          9 |        419 |        100 |         86 |        605 |
| SotaSample-master/src/jp/vstone/sotatest                                                                                            |          6 |        437 |        102 |        114 |        653 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                            | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/onozeki/Documents/GitHub/Project_Sota/README.md                                                                              | Markdown     |         11 |          0 |          9 |         20 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/commusample/FaceTrackingSample.class | Java         |         46 |          0 |          0 |         46 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/commutest/ReadPosTest.class          | Java         |         30 |          0 |          0 |         30 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/commutest/ServoSoundTest.class       | Java         |        100 |          0 |          0 |        100 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/commutest/SoundTest.class            | Java         |         24 |          0 |          0 |         24 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/ButtonReadSample.class    | Java         |         32 |          0 |          0 |         32 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/FaceTrackingSample.class  | Java         |         45 |          0 |          0 |         45 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/MotionSample.class        | Java         |         31 |          0 |          0 |         31 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/RecordMotion.class        | Java         |         46 |          0 |          0 |         46 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecGetName.class    | Java         |         25 |          0 |          0 |         25 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecSample.class     | Java         |         24 |          0 |          0 |         24 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/TextToSpeechSample.class  | Java         |         14 |          0 |          0 |         14 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample/package-info.class        | Java         |          2 |          0 |          0 |          2 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/MicTest.class               | Java         |         16 |          0 |          0 |         16 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/QRCodeTest.class            | Java         |         26 |          0 |          0 |         26 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/ReadPosTest.class           | Java         |         30 |          0 |          0 |         30 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/ServoSoundTest.class        | Java         |         95 |          0 |          0 |         95 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/SoundTest.class             | Java         |         11 |          0 |          0 |         11 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/StillTest.class             | Java         |         20 |          0 |          0 |         20 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/ResponseFromGPT.class                                  | Java         |         49 |          0 |          1 |         50 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/Talk.class                                             | Java         |         40 |          0 |          0 |         40 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/hoge.class                                             | Java         |          8 |          0 |          0 |          8 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testChatGPT.class                                      | Java         |         38 |          0 |          1 |         39 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testMotion.class                                       | Java         |         29 |          0 |          0 |         29 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testThinking.class                                     | Java         |         32 |          0 |          0 |         32 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/java_compile.sh                                                  | Shell Script |          5 |          0 |          3 |          8 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/java_run.sh                                                      | Shell Script |          7 |          0 |          2 |          9 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commusample/FaceTrackingSample.class                   | Java         |         46 |          0 |          0 |         46 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/ReadPosTest.class                            | Java         |         30 |          0 |          0 |         30 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/ServoSoundTest.class                         | Java         |        100 |          0 |          0 |        100 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/SoundTest.class                              | Java         |         24 |          0 |          0 |         24 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/ButtonReadSample.class                      | Java         |         32 |          0 |          0 |         32 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/FaceAuthenticationSample2.class             | Java         |         63 |          0 |          0 |         63 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/FaceTrackingSample.class                    | Java         |         45 |          0 |          0 |         45 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/MotionSample.class                          | Java         |         31 |          0 |          0 |         31 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/RecordMotion.class                          | Java         |         46 |          0 |          0 |         46 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecGetName.class                      | Java         |         25 |          0 |          0 |         25 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecSample.class                       | Java         |         24 |          0 |          0 |         24 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/TextToSpeechSample.class                    | Java         |         14 |          0 |          0 |         14 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/package-info.class                          | Java         |          2 |          0 |          0 |          2 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/MicTest.class                                 | Java         |         16 |          0 |          0 |         16 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/QRCodeTest.class                              | Java         |         26 |          0 |          0 |         26 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/ReadPosTest.class                             | Java         |         30 |          0 |          0 |         30 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/ServoSoundTest.class                          | Java         |         95 |          0 |          0 |         95 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/SoundTest.class                               | Java         |         11 |          0 |          0 |         11 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/StillTest.class                               | Java         |         20 |          0 |          0 |         20 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/send.xml                                                             | XML          |         98 |          4 |         23 |        125 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/Desk_lab.class                                         | Java         |         27 |          0 |          0 |         27 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/Desk_lab.java                                          | Java         |         42 |          7 |         11 |         60 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/ResponseFromGPT.class                                  | Java         |         69 |          0 |          0 |         69 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/ResponseFromGPT.java                                   | Java         |         95 |          9 |         17 |        121 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/Talk.class                                             | Java         |         74 |          0 |          0 |         74 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/Talk.java                                              | Java         |        101 |         15 |         15 |        131 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/preserveTalk.class                                     | Java         |         63 |          0 |          0 |         63 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/preserveTalk.java                                      | Java         |         83 |         18 |         12 |        113 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testChatGPT.class                                      | Java         |         55 |          0 |          0 |         55 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testChatGPT.java                                       | Java         |         68 |         12 |         16 |         96 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testFaceTrack.class                                    | Java         |         63 |          0 |          0 |         63 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testFaceTrack.java                                     | Java         |         87 |         17 |         13 |        117 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testMotion.class                                       | Java         |         26 |          0 |          0 |         26 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testMotion.java                                        | Java         |        108 |         62 |         55 |        225 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testTalk.java                                          | Java         |         42 |         10 |         14 |         66 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/Self_code/testThinking.java                                      | Java         |         44 |         25 |         15 |         84 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/java_compile.sh                                                  | Shell Script |          6 |          0 |          3 |          9 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/java_run.sh                                                      | Shell Script |          8 |          0 |          2 |         10 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/java_run2.sh                                                     | Shell Script |          7 |          0 |          2 |          9 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/commusample/FaceTrackingSample.java                    | Java         |         84 |         23 |         22 |        129 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/commutest/ReadPosTest.java                             | Java         |         33 |          8 |          7 |         48 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/commutest/ServoSoundTest.java                          | Java         |        184 |         29 |         42 |        255 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/commutest/SoundTest.java                               | Java         |         28 |         15 |         10 |         53 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/ButtonReadSample.java                       | Java         |         60 |         13 |         11 |         84 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/FaceAuthenticationSample2.java              | Java         |        104 |         15 |         17 |        136 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/FaceTrackingSample.java                     | Java         |         83 |         26 |         21 |        130 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/MotionSample.java                           | Java         |         47 |         18 |         13 |         78 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/RecordMotion.java                           | Java         |         52 |         19 |          9 |         80 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/SpeechRecGetName.java                       | Java         |         25 |          3 |          5 |         33 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/SpeechRecSample.java                        | Java         |         28 |          3 |          4 |         35 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/TextToSpeechSample.java                     | Java         |         19 |          0 |          4 |         23 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotasample/package-info.java                           | Java         |          1 |          3 |          2 |          6 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/MicTest.java                                  | Java         |         35 |          9 |          7 |         51 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/QRCodeTest.java                               | Java         |         34 |          4 |         10 |         48 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/ReadPosTest.java                              | Java         |         33 |          8 |          7 |         48 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/ServoSoundTest.java                           | Java         |        227 |         61 |         68 |        356 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/SoundTest.java                                | Java         |         17 |          5 |          5 |         27 |
| /Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/src/jp/vstone/sotatest/StillTest.java                                | Java         |         91 |         15 |         17 |        123 |
| Total                                                                                                                               |              |      3,867 |        456 |        495 |      4,818 |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
